"id","model","examGroup","windowLength","costTime","chunkLength","escapeCount","input_tokens","output_tokens","reasoning_tokens"
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",7000,858628,5,0,31237,22622,19851
"8c8d4b72-e923-4fd3-ba2a-0ba3bebf3332","deepseek-r1-250120","diff",39000,369548,2,0,32569,9992,8963
"8c8d4b72-e923-4fd3-ba2a-0ba3bebf3332","deepseek-r1-250120","diff",15000,854935,4,1,28547,22516,20965
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",31000,467976,2,0,43361,12477,11696
"d4a6aaf1-8956-4941-8772-6eadfb6040e8","deepseek-r1-250120","diff",7000,990598,5,0,27242,26403,24887
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",23000,151386,2,0,11964,4276,4083
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",7000,177896,1,0,2435,5029,4846
"d4a6aaf1-8956-4941-8772-6eadfb6040e8","deepseek-r1-250120","diff",7000,696862,5,0,27204,18746,17269
"0c5bb896-8006-4554-9bed-de3826678257","deepseek-r1-250120","diff",31000,344471,2,0,26662,9224,8607
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",7000,144093,1,0,2435,3782,3707
"3ba23f98-14d7-4107-9c7f-b59c607ac505","deepseek-r1-250120","diff",23000,365268,2,0,22674,9776,8537
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",23000,568195,2,0,12008,15471,14363
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",31000,142618,2,0,12783,3787,1898
"8c8d4b72-e923-4fd3-ba2a-0ba3bebf3332","deepseek-r1-250120","diff",39000,560351,2,0,32569,14485,13495
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",39000,584250,2,0,11992,15183,14120
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",7000,1453482,8,0,50238,38500,35070
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",31000,147563,2,0,38344,3777,2917
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",39000,360797,2,0,11964,9701,8688
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",15000,465339,3,0,26375,11850,10833
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",31000,360286,2,0,23483,9660,8774
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",7000,1756352,8,0,49388,45994,42579
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",23000,576923,3,0,37231,15344,13896
"3ba23f98-14d7-4107-9c7f-b59c607ac505","deepseek-r1-250120","diff",31000,480837,2,0,24731,12271,12111
"d4a6aaf1-8956-4941-8772-6eadfb6040e8","deepseek-r1-250120","diff",23000,139078,2,1,25227,3674,3289
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",7000,958884,5,0,30977,24694,22485
"3ba23f98-14d7-4107-9c7f-b59c607ac505","deepseek-r1-250120","diff",39000,58750,1,0,22613,1390,745
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",15000,417730,3,0,26603,10724,9667
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",23000,622433,3,0,36853,16761,16309
"8c8d4b72-e923-4fd3-ba2a-0ba3bebf3332","deepseek-r1-250120","diff",31000,221899,2,1,31206,5818,4530
"0c5bb896-8006-4554-9bed-de3826678257","deepseek-r1-250120","diff",7000,1002955,6,0,36652,26073,23785
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",15000,787454,4,0,29726,20956,19682
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",23000,627365,3,0,38832,15613,14992
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",15000,63287,1,0,2435,1680,1605
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",39000,473933,2,0,34866,12196,11423
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",31000,599165,2,0,12737,16302,14470
"a753dd92-3787-4846-9b1b-81c810fb3ff7","deepseek-r1-250120","diff",15000,615633,3,0,42235,16452,14046
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",39000,344324,1,0,26980,9232,8662
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",31000,102265,1,0,2435,2754,2679
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",23000,211273,3,0,39516,5641,3678
"0c5bb896-8006-4554-9bed-de3826678257","deepseek-r1-250120","diff",39000,233325,2,1,30158,5945,5695
"0c5bb896-8006-4554-9bed-de3826678257","deepseek-r1-250120","diff",23000,401167,2,1,32130,10232,9232
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",15000,385669,2,1,11948,10568,10389
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",15000,309538,2,0,11964,8420,7407
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",15000,112997,1,0,2435,2972,2901
"d4a6aaf1-8956-4941-8772-6eadfb6040e8","deepseek-r1-250120","diff",15000,601485,4,0,32179,16420,13052
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",31000,107497,2,1,38130,2519,2048
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",15000,118179,1,0,2435,2989,2914
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",39000,388196,2,0,34869,10308,9605
"8c8d4b72-e923-4fd3-ba2a-0ba3bebf3332","deepseek-r1-250120","diff",15000,688165,4,0,29093,17767,15570
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",23000,494159,3,0,38925,13412,11915
"8c8d4b72-e923-4fd3-ba2a-0ba3bebf3332","deepseek-r1-250120","diff",31000,390509,2,1,30682,10385,9546
"8c8d4b72-e923-4fd3-ba2a-0ba3bebf3332","deepseek-r1-250120","diff",7000,774062,5,0,24198,20960,18215
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",23000,76029,1,0,2435,1984,1920
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",15000,198131,4,0,43371,5213,3524
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",7000,516507,3,0,15726,14136,12144
"a753dd92-3787-4846-9b1b-81c810fb3ff7","deepseek-r1-250120","diff",39000,623996,2,0,38679,16946,15078
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",39000,96414,1,0,26980,2315,2201
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",31000,48379,1,0,2435,1133,1058
"d4a6aaf1-8956-4941-8772-6eadfb6040e8","deepseek-r1-250120","diff",31000,317871,2,0,25227,8277,7831
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",31000,283622,2,0,23460,7321,6846
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",15000,566384,4,0,29757,15046,14153
"a753dd92-3787-4846-9b1b-81c810fb3ff7","deepseek-r1-250120","diff",39000,332753,2,0,38679,8722,6769
"0c5bb896-8006-4554-9bed-de3826678257","deepseek-r1-250120","diff",31000,318096,2,2,26406,7760,7196
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",39000,520953,2,1,37488,13284,12808
"a753dd92-3787-4846-9b1b-81c810fb3ff7","deepseek-r1-250120","diff",7000,1333509,6,1,45964,36811,33475
"3ba23f98-14d7-4107-9c7f-b59c607ac505","deepseek-r1-250120","diff",31000,179806,2,0,24802,4633,3770
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",23000,134248,2,1,29765,3268,2728
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",39000,162018,2,0,37475,3978,3524
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",23000,194582,2,2,29676,4788,4391
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",23000,87672,1,0,2435,2270,2195
"a753dd92-3787-4846-9b1b-81c810fb3ff7","deepseek-r1-250120","diff",7000,1108833,6,0,49066,29091,25070
"3ba23f98-14d7-4107-9c7f-b59c607ac505","deepseek-r1-250120","diff",15000,516202,3,0,28294,13487,11196
"a753dd92-3787-4846-9b1b-81c810fb3ff7","deepseek-r1-250120","diff",23000,367996,2,1,37894,9496,8163
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",31000,403410,2,0,23968,10419,8917
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",31000,78290,1,0,2435,2029,1958
"0c5bb896-8006-4554-9bed-de3826678257","deepseek-r1-250120","diff",23000,353995,2,0,32130,9056,8080
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",39000,59231,1,0,2435,1652,1592
"3ba23f98-14d7-4107-9c7f-b59c607ac505","deepseek-r1-250120","diff",31000,653113,2,0,25245,17898,16641
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",15000,568587,2,0,12737,15463,13688
"d4a6aaf1-8956-4941-8772-6eadfb6040e8","deepseek-r1-250120","diff",39000,577372,2,0,30482,15407,14350
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",7000,696673,6,0,31888,17823,15259
"8c8d4b72-e923-4fd3-ba2a-0ba3bebf3332","deepseek-r1-250120","diff",23000,575069,3,0,32069,15255,13335
"d4a6aaf1-8956-4941-8772-6eadfb6040e8","deepseek-r1-250120","diff",31000,347318,2,2,25227,9240,8840
"3ba23f98-14d7-4107-9c7f-b59c607ac505","deepseek-r1-250120","diff",7000,619189,5,2,29854,15937,13887
"a753dd92-3787-4846-9b1b-81c810fb3ff7","deepseek-r1-250120","diff",23000,347461,2,0,38417,9496,7621
"0c5bb896-8006-4554-9bed-de3826678257","deepseek-r1-250120","diff",15000,609537,3,0,29359,15991,14936
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",31000,156040,2,0,38121,3592,3020
"d4a6aaf1-8956-4941-8772-6eadfb6040e8","deepseek-r1-250120","diff",23000,403809,2,0,25801,11052,9648
"0c5bb896-8006-4554-9bed-de3826678257","deepseek-r1-250120","diff",31000,410356,2,1,26406,10423,9675
"a753dd92-3787-4846-9b1b-81c810fb3ff7","deepseek-r1-250120","diff",39000,637974,2,0,37849,17293,16243
"d4a6aaf1-8956-4941-8772-6eadfb6040e8","deepseek-r1-250120","diff",7000,926165,5,0,28271,25885,22861
"3ba23f98-14d7-4107-9c7f-b59c607ac505","deepseek-r1-250120","diff",15000,412739,3,0,27948,11009,9461
"d4a6aaf1-8956-4941-8772-6eadfb6040e8","deepseek-r1-250120","diff",15000,1102931,4,0,30573,29898,28485
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",23000,563659,2,0,12737,15231,13412
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",39000,467914,2,0,37452,12736,12479
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",7000,445683,3,0,16352,11576,8919
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",7000,87158,1,0,2435,2281,2210
"8c8d4b72-e923-4fd3-ba2a-0ba3bebf3332","deepseek-r1-250120","diff",39000,214588,2,0,32693,5656,4397
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",31000,500390,2,0,12737,13751,11950
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",7000,783386,6,0,32853,21034,17417
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",7000,672570,3,0,15579,18199,16318
"0c5bb896-8006-4554-9bed-de3826678257","deepseek-r1-250120","diff",15000,426468,3,0,29616,11007,9817
"3ba23f98-14d7-4107-9c7f-b59c607ac505","deepseek-r1-250120","diff",7000,624937,5,0,29892,17331,15159
"8c8d4b72-e923-4fd3-ba2a-0ba3bebf3332","deepseek-r1-250120","diff",7000,784144,5,1,24111,20286,17505
"a753dd92-3787-4846-9b1b-81c810fb3ff7","deepseek-r1-250120","diff",15000,266928,3,1,41081,6830,5080
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",39000,359719,2,0,34872,9815,9234
"3ba23f98-14d7-4107-9c7f-b59c607ac505","deepseek-r1-250120","diff",23000,187417,2,0,22212,4597,3805
"ffd079b6-5ec9-4d1e-bc34-a138d1c75afd","deepseek-r1-250120","diff",39000,145094,1,0,2435,3855,3784
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",31000,220399,2,0,43429,5729,5142
"5a52d2e0-7219-40f9-aaf5-c3c51cc201c5","deepseek-r1-250120","diff",23000,868077,3,1,36749,22487,21669
"3ba23f98-14d7-4107-9c7f-b59c607ac505","deepseek-r1-250120","diff",15000,411720,3,0,27154,11042,10664
"edb88d13-3175-4853-b34b-867d88f0571e","deepseek-r1-250120","diff",39000,432221,2,0,12452,11542,10039
"03c49e5d-7c42-4c3e-b008-7996972de0a4","deepseek-r1-250120","diff",15000,556779,4,1,41660,14119,12958
"0c5bb896-8006-4554-9bed-de3826678257","deepseek-r1-250120","diff",39000,311027,2,0,30172,8224,8014
"a753dd92-3787-4846-9b1b-81c810fb3ff7","deepseek-r1-250120","diff",15000,743717,3,1,42523,20257,17465
"2205ad14-4ae1-45f2-8b71-d0c32395ba31","deepseek-r1-250120","diff",23000,670116,2,1,29676,18818,18242
