id,source_url,model,examGroup,windowLength,costTime,chunkLength,escapeCount,input_tokens,output_tokens,reasoning_tokens
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,7000,3158686,22,1,156800,96240,70546
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,7000,3450094,22,1,155124,104087,77454
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,7000,3625316,22,1,159258,115929,90100
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,15000,1765179,12,0,134515,49490,37300
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,15000,1616658,12,2,132130,44226,34192
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,15000,1629405,12,1,135715,51364,40048
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,23000,1002258,8,1,134947,25253,16044
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,23000,1254904,8,0,131087,32616,25908
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,23000,862303,8,1,134649,25303,19843
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,31000,508134,6,0,126978,13983,10527
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,31000,946919,6,0,127516,22923,18696
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,31000,826527,6,0,127078,19905,16161
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,39000,702466,5,2,122287,19909,15180
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,39000,677389,5,1,122545,16333,12869
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-r1-250120,diff,39000,918039,5,0,121736,22777,18042
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,7000,828933,22,0,152320,23320,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,7000,856087,22,0,151442,24113,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,7000,832627,22,0,150423,23495,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,15000,398828,12,0,135596,10658,0
