"model","examGroup","costTime","chunkLength","escapeCount","input_tokens","output_tokens","reasoning_tokens"
"deepseek-r1-250120","diff",36096,1,0,2510,1200,1044
"deepseek-r1-250120","diff",882362,11,0,41695,29589,24173
"deepseek-r1-250120","diff",1347007,11,0,39217,48312,43322
"deepseek-r1-250120","diff",1107578,7,0,25664,40080,37110
"deepseek-r1-250120","diff",3560746,21,1,91714,131489,114546
"deepseek-r1-250120","diff",1980166,17,0,61676,68585,59546
"deepseek-r1-250120","diff",585479,5,0,15129,20232,18653
"deepseek-r1-250120","diff",1960047,17,0,63163,70015,59506
"deepseek-r1-250120","diff",390005,2,0,6796,13663,12531
"deepseek-r1-250120","diff",105076,1,0,2109,3590,3513
"deepseek-r1-250120","diff",89871,1,0,2109,3026,2953
"deepseek-r1-250120","diff",101663,1,0,2109,3341,3264
"deepseek-r1-250120","diff",97367,1,0,2510,3112,2948
"deepseek-r1-250120","diff",60005,1,0,2109,1943,1866
"deepseek-r1-250120","diff",343262,2,0,6969,12163,10814
"deepseek-r1-250120","diff",4294427,53,0,186195,152309,128373
"deepseek-r1-250120","diff",2252638,21,0,86354,78400,66676
"deepseek-r1-250120","diff",934947,7,0,25628,34798,31850
"deepseek-r1-250120","diff",1377197,11,0,38685,47566,43609
"deepseek-r1-250120","diff",1100930,11,0,40009,37435,31269
"deepseek-r1-250120","diff",1156031,11,0,42163,39227,32950
"deepseek-r1-250120","diff",1476291,7,0,26079,51277,47968
"deepseek-r1-250120","diff",358128,2,0,7268,12523,10663
"deepseek-r1-250120","diff",4485798,53,0,190436,157130,133232
"deepseek-r1-250120","diff",4762994,53,1,192685,177403,147200
"deepseek-r1-250120","diff",994166,11,1,41701,35754,30228
"deepseek-r1-250120","diff",871350,5,0,16202,29782,27341
"deepseek-r1-250120","diff",1045377,11,0,42164,36849,30729
"deepseek-r1-250120","diff",986805,5,0,15740,36386,33869
"deepseek-r1-250120","diff",4379494,53,0,186187,157694,134121
"deepseek-r1-250120","diff",3288159,21,0,88261,121084,107405
"deepseek-r1-250120","diff",862038,7,0,25429,29768,27224
"deepseek-r1-250120","diff",3839382,53,1,196513,141843,108892
"deepseek-r1-250120","diff",119878,1,0,2510,4104,3962
"deepseek-r1-250120","diff",513518,2,0,7106,17440,15586
"deepseek-r1-250120","diff",97340,1,0,2109,3259,3186
"deepseek-r1-250120","diff",93309,1,0,2510,3128,2978
"deepseek-r1-250120","diff",954875,11,1,42273,34265,28032
"deepseek-r1-250120","diff",2370662,21,2,86751,84029,71301
