"model","examGroup","costTime","chunkLength","escapeCount","input_tokens","output_tokens","reasoning_tokens"
"deepseek-r1-250120","full",118606,,0,5531,3909,3607
"deepseek-r1-250120","full",148868,,0,16183,4725,3952
"deepseek-r1-250120","full",49643,,0,16709,1580,892
"deepseek-r1-250120","full",158466,,0,16709,4995,3627
"deepseek-r1-250120","full",69856,,0,21297,2236,958
"deepseek-r1-250120","full",149641,,0,23488,4816,4049
"deepseek-r1-250120","full",86240,,0,22012,2578,1629
"deepseek-r1-250120","full",81147,,0,22012,2513,1677
"deepseek-r1-250120","full",71831,,0,51151,1845,1024
"deepseek-r1-250120","full",48186,,0,21297,1492,867
"deepseek-r1-250120","full",43476,,0,17060,1375,552
"deepseek-r1-250120","full",206198,,0,23488,6602,5786
"deepseek-r1-250120","full",197971,,0,16183,6429,5177
"deepseek-r1-250120","full",209343,,0,17060,6782,6157
"deepseek-r1-250120","full",127562,,0,5070,4028,3164
"deepseek-r1-250120","full",92161,,0,16709,2821,2097
"deepseek-r1-250120","full",112327,,0,23488,3329,2431
"deepseek-r1-250120","full",213586,,0,5070,6719,6229
"deepseek-r1-250120","full",188478,,0,5070,6139,5412
"deepseek-r1-250120","full",216884,,0,16183,7008,6254
"deepseek-r1-250120","full",66415,,0,21297,2097,1453
"deepseek-r1-250120","full",65390,,0,21737,2047,1029
"deepseek-r1-250120","full",96844,,0,5531,3285,2832
"deepseek-r1-250120","full",61198,,0,17060,1739,1063
"deepseek-r1-250120","full",78409,,0,17060,2416,1528
"deepseek-r1-250120","full",61025,,0,21737,1760,901
"deepseek-r1-250120","full",43304,,0,22012,1222,619
"deepseek-r1-250120","full",89053,,0,23488,2703,1804
"deepseek-r1-250120","full",63579,,0,22012,1862,1111
"deepseek-r1-250120","full",93819,,0,21297,2936,1766
"deepseek-r1-250120","full",255339,,0,51151,7456,6745
"deepseek-r1-250120","full",86841,,0,23488,2627,1861
"deepseek-r1-250120","full",145728,,0,16709,4528,3516
"deepseek-r1-250120","full",65982,,0,16183,2122,1276
"deepseek-r1-250120","full",133513,,0,51151,3686,2872
"deepseek-r1-250120","full",73228,,0,16183,2331,1742
"deepseek-r1-250120","full",54982,,0,21737,1633,747
"deepseek-r1-250120","full",56155,,0,22012,1577,925
"deepseek-r1-250120","full",237258,,0,5531,7507,7259
"deepseek-r1-250120","full",107401,,0,21737,3386,2578
"deepseek-r1-250120","full",50595,,0,21297,1418,763
"deepseek-r1-250120","full",167977,,0,5070,5418,4738
"deepseek-r1-250120","full",228489,,0,51151,6734,5859
"deepseek-r1-250120","full",47534,,0,17060,1405,566
"deepseek-r1-250120","full",381411,,0,5070,12401,11794
"deepseek-r1-250120","full",63448,,0,51151,1577,882
"deepseek-r1-250120","full",99730,,0,5531,3065,2759
"deepseek-r1-250120","full",165600,,0,16709,5098,4308
"deepseek-r1-250120","full",187363,,0,21737,6112,4396
"deepseek-r1-250120","full",131438,,0,5531,4124,3776
"deepseek-v3-241226","full",58122,,0,23864,1887,1001
"deepseek-v3-241226","full",115161,,0,19967,3817,2784
"deepseek-v3-241226","full",117754,,0,16183,4012,3284
"deepseek-v3-241226","full",99402,,0,33386,2990,2351
"deepseek-v3-241226","full",229497,,0,51163,7056,5888
"deepseek-v3-241226","full",50569,,0,17060,1520,908
"deepseek-v3-241226","full",108852,,0,22854,3352,2756
"deepseek-v3-241226","full",152112,,0,5753,4781,4252
"deepseek-v3-241226","full",76969,,0,23875,2439,1554
"deepseek-v3-241226","full",212658,,0,16183,6924,5996
"deepseek-v3-241226","full",59360,,0,19967,1875,877
"deepseek-v3-241226","full",342838,,0,51163,10979,9047
"deepseek-v3-241226","full",223440,,0,23875,7587,6207
"deepseek-v3-241226","full",274928,,0,33386,9308,7879
"deepseek-v3-241226","full",63375,,0,17060,1933,1233
"deepseek-v3-241226","full",155387,,0,22854,5268,3889
"deepseek-v3-241226","full",296879,,0,51163,9665,8035
"deepseek-v3-241226","full",350035,,0,51163,11306,10205
"deepseek-v3-241226","full",126939,,0,5753,4312,3660
"deepseek-v3-241226","full",118424,,0,5753,3837,3349
"deepseek-v3-241226","full",225928,,0,23875,7401,6376
"deepseek-v3-241226","full",46925,,0,22854,1394,816
"deepseek-v3-241226","full",126660,,0,23864,4219,3302
"deepseek-v3-241226","full",98417,,0,22854,3162,2030
"deepseek-v3-241226","full",87506,,0,23864,2827,1950
"deepseek-v3-241226","full",117931,,0,16183,3815,3220
"deepseek-v3-241226","full",177320,,0,5753,5935,4804
"deepseek-v3-241226","full",117965,,0,19967,3836,2574
"deepseek-v3-241226","full",160119,,0,16183,5303,4491
"deepseek-v3-241226","full",121467,,0,33386,3982,2708
"deepseek-v3-241226","full",105484,,0,23864,3296,2363
"deepseek-v3-241226","full",111000,,0,27500,3693,3145
"deepseek-v3-241226","full",59671,,0,19967,1966,1238
"deepseek-v3-241226","full",98095,,0,23864,3118,2347
"deepseek-v3-241226","full",138866,,0,23875,4698,3936
"deepseek-v3-241226","full",127468,,0,17060,4164,3599
